cds,record_type,school_name,district_name,county_name,enrollment_9_12,number_of_test_takers,avg_reading_score,avg_math_score,avg_writing_score,number_scores_gte_1500,percent_scores_gte_1500
18750361833409,S,Herlong High,Fort Sage Unified,Lassen,68,5,*,*,*,*,*
19000000000000,C,,,Los Angeles,500863,79839,473,488,475,31352,39.27
19101990000000,D,,Los Angeles County Office of E,Los Angeles,5871,605,480,471,486,254,41.98
19101990109918,S,Opportunities Unlimited Charter High,Los Angeles County Office of E,Los Angeles,90,15,355,369,364,1,6.67
19101990109926,S,Academia Avance Charter,Los Angeles County Office of E,Los Angeles,269,102,381,385,388,6,5.88
19101990109942,S,Los Angeles International Charter High,Los Angeles County Office of E,Los Angeles,271,99,407,412,436,12,12.12
19101990127274,S,Westchester Secondary Charter,Los Angeles County Office of E,Los Angeles,41,0,NA,NA,NA,NA,NA
19101990127522,S,Optimist Charter,Los Angeles County Office of E,Los Angeles,50,0,NA,NA,NA,NA,NA
19101991933399,S,L.A. County High School for the Arts,Los Angeles County Office of E,Los Angeles,633,211,557,515,566,145,68.72
19101991995257,S,Alternative Opportunity Programs,Los Angeles County Office of E,Los Angeles,232,0,NA,NA,NA,NA,NA
19101991995869,S,International Polytechnic High,Los Angeles County Office of E,Los Angeles,555,170,505,518,491,90,52.94
19101991996008,S,Soledad Enrichment Action Charter High,Los Angeles County Office of E,Los Angeles,1351,8,*,*,*,*,*
19642120000000,D,,ABC Unified,Los Angeles,6774,1281,525,568,535,804,62.76
19642121930056,S,Cerritos High,ABC Unified,Los Angeles,2159,557,532,586,546,393,70.56
19642121930361,S,Artesia High,ABC Unified,Los Angeles,1493,192,453,469,459,48,25.00
19642121931641,S,Tracy (Wilbur) High (Continuation),ABC Unified,Los Angeles,361,2,*,*,*,*,*
19642121931880,S,Whitney (Gretchen) High,ABC Unified,Los Angeles,689,209,629,683,648,205,98.09
19642121933159,S,Gahr (Richard) High,ABC Unified,Los Angeles,1961,321,486,520,487,156,48.60
19642121995596,S,ABC Secondary (Alternative),ABC Unified,Los Angeles,82,0,NA,NA,NA,NA,NA
19642460000000,D,,Antelope Valley Union High,Los Angeles,24088,2583,461,455,452,779,30.16
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,3159,395,449,452,447,104,26.33
19642460108407,S,Eastside High,Antelope Valley Union High,Los Angeles,2353,400,418,416,412,47,11.75
