OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
700347,65f0513a,11/05/2011 12:30:00 AM,Saturday,Nov,5,2011,0,11,10,2011,GRAND LARCENY,FELONY,C,19,MANHATTAN,N.Y. POLICE DEPT,996408,221968,"(40.775927058, -73.9561042019999)"
700348,fda05cee,11/05/2011 12:40:00 AM,Saturday,Nov,5,2011,0,11,5,2011,ROBBERY,FELONY,A,113,QUEENS,N.Y. POLICE DEPT,1041332,183652,"(40.670583252, -73.794228516)"
700349,dc551b40,11/05/2011 12:40:00 AM,Saturday,Nov,5,2011,0,11,5,2011,FELONY ASSAULT,FELONY,I,102,QUEENS,N.Y. POLICE DEPT,1024537,193228,"(40.696959513, -73.8547148439999)"
700350,a4265aa1,11/05/2011 12:40:00 AM,Saturday,Nov,5,2011,0,11,5,2011,FELONY ASSAULT,FELONY,G,50,BRONX,N.Y. POLICE DEPT,1008477,260252,"(40.8809808120001, -73.912390073)"
700351,67053b32,11/05/2011 12:45:00 AM,Saturday,Nov,5,2011,0,11,5,2011,FELONY ASSAULT,FELONY,B,104,QUEENS,N.Y. POLICE DEPT,1011365,192916,"(40.696153306, -73.9022181019999)"
700352,6d968dff,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,5,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,63,BROOKLYN,N.Y. POLICE DEPT,1007655,164101,"(40.6170730630001, -73.9156972659999)"
700353,afe5b442,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,5,2011,BURGLARY,FELONY,E,104,QUEENS,N.Y. POLICE DEPT,1009324,194460,"(40.7003972420001, -73.909572695)"
700354,ddd56538,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,5,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,90,BROOKLYN,N.Y. POLICE DEPT,994843,198770,"(40.712256358, -73.961791267)"
700355,b04543f8,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,5,2011,GRAND LARCENY,FELONY,G,1,MANHATTAN,N.Y. POLICE DEPT,982598,201070,"(40.718575495, -74.005960967)"
700356,dc2be22f,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,5,2011,GRAND LARCENY,FELONY,I,6,MANHATTAN,N.Y. POLICE DEPT,982401,209098,"(40.740610358, -74.006673844)"
700357,93d48b61,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,5,2011,GRAND LARCENY,FELONY,G,41,BRONX,N.Y. POLICE DEPT,1014249,238403,"(40.820994087, -73.891614739)"
700358,77c4180e,11/05/2011 01:00:00 AM,Saturday,Nov,5,2011,1,11,7,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,48,BRONX,N.Y. POLICE DEPT,1016476,246154,"(40.842260497, -73.8835313399999)"
