occurrence_date,object_id,identifier,compstat_date,offense,sector,precinct,borough,jurisdiction,xcoord,ycoord,latitude,longitude
2012-02-21 07:50:00,700066,8afbc98e,2012-02-21,FELONY ASSAULT,C,19,MANHATTAN,N.Y. POLICE DEPT,996349,222907,40.778504447,-73.956315535
2012-02-21 08:00:00,700067,f10b8f55,2012-03-07,GRAND LARCENY,C,105,QUEENS,N.Y. POLICE DEPT,1057611,180316,40.6613067860001,-73.7355815299999
2012-02-21 08:00:00,700068,b8d3ebbb,2012-03-16,GRAND LARCENY,M,77,BROOKLYN,N.Y. POLICE DEPT,1004580,183838,40.671254457,-73.926713851
2012-02-21 08:30:00,700069,2962c5a7,2012-02-21,FELONY ASSAULT,A,75,BROOKLYN,N.Y. POLICE DEPT,1013995,187170,40.6803734150001,-73.892759054
2012-02-21 08:30:00,700070,82ae4273,2012-02-21,GRAND LARCENY,E,14,MANHATTAN,N.Y. POLICE DEPT,989361,214512,40.7554691460001,-73.98155352
2012-02-21 09:00:00,700071,e3b0a181,2012-03-31,GRAND LARCENY,G,101,QUEENS,N.Y. HOUSING POLICE,1043643,155650,40.5937087080001,-73.78614414
2012-02-21 09:00:00,700072,3f242617,2012-02-21,BURGLARY,E,72,BROOKLYN,N.Y. POLICE DEPT,982725,174740,40.646305651,-74.005496857
2012-02-21 09:00:00,700073,26d6bb0f,2013-12-11,GRAND LARCENY,F,102,QUEENS,N.Y. POLICE DEPT,1032686,195689,40.703673522,-73.825309561
2012-02-21 09:00:00,700074,8ea3666f,2012-02-21,GRAND LARCENY,I,115,QUEENS,N.Y. POLICE DEPT,1020535,214241,40.754652349,-73.8690339
2012-02-21 09:00:00,700075,71d57e1,2012-02-21,GRAND LARCENY,B,20,MANHATTAN,N.Y. POLICE DEPT,987746,220076,40.7707416810001,-73.987379899
2012-02-21 09:00:00,700076,ff8d9350,2012-02-21,GRAND LARCENY,F,20,MANHATTAN,N.Y. POLICE DEPT,989558,224206,40.7820765450001,-73.9808348029999
2012-02-21 09:00:00,700077,2e7ec22f,2012-03-21,GRAND LARCENY,I,40,BRONX,N.Y. POLICE DEPT,1006998,234379,40.8099709850001,-73.9178263009999
2012-02-21 09:01:00,700078,8cca92e5,2012-03-02,ROBBERY,G,19,MANHATTAN,N.Y. POLICE DEPT,996861,218302,40.765864209,-73.9544754949999
